date,idx,code,shares,sharesChg,sharesChgRatio,nav,closePrice,changePct,turnoverRate,turnoverValue,turnoverVolume,disc,discountRatioCurve,avgDiscountRatioCurve,size,totalMV,totalAssets,stockRatio,bondRatio,ytdReturn,ytdMaxDrawdown,return1M,return3M,return6M,return1Y,return3Y,maxDrawdown1M,maxDrawdown3M,maxDrawdown6M,maxDrawdown1Y,maxDrawdown3Y,indexDailyChange,index1YReturn,holderAccount,institutionHolderRatio,individualHolderRatio,prlistTop20Ratio,isTPlus0
2026-06-25,中证A500,sz159339,1679086841,3000000,0.18,1.32,1.36,1.72,5.02,112570486,,-0.17,,,2221935616.70,2260000000,2565238989.48,20.11,0,-8.01,,-5.87,-7.06,-8.01,-8.01,-15.32,0.36,0.36,0.98,0.98,0.98,,,0,0,0,33,
2026-06-25,中证A500,sz159353,2903161812,-15000000,-0.52,1.33,1.36,1.64,3.70,143788336,,-0.01,,,3856269834.88,3912000000.00,4000666322.15,20.13,0,-8.44,,-5.84,-7.10,-8.44,-8.44,-14.29,0.83,0.83,0.83,0.83,0.83,,,0,0,0,32.81,
2026-06-25,上证指数,sh510760,2111503700,51000000,2.42,1.33,1.33,-0.08,6.64,184742957,,0.10,,,2808511071.37,2782000000,2744481744.14,19.57,0,-9.04,,-5.22,-7.47,-9.04,-9.04,-17.98,0.42,0.42,0.42,0.46,4.97,,,0,0,0,31.13,
2026-06-25,中证A50,sz159591,365405682,-4500000,-1.23,1.40,1.41,0.64,6.40,31746082,,-0.26,,,509814007.53,497000000,536229854.18,55.46,0,-7.86,,-4.81,-5.73,-7.86,-7.86,-16.69,0.21,0.21,0.49,0.49,1.52,,,0,0,0,76.72,
2026-06-25,国证2000,sz159628,284283250,39000000,13.72,1.53,1.54,0.06,7.81,42490242,,0.18,,,433674097.88,545000000,520208757.58,6,0,-14.71,,-8.46,-10.35,-14.71,-14.71,-34.24,0.30,0.51,0.60,0.60,2.55,,,0,0,0,11.07,
2026-06-25,创业板指,sz159915,11363454936,546000000,4.80,4.21,4.39,3.22,12.35,5951167240,,-0.14,,,47798100497.30,48975000000,51269327032.20,57.09,0,-7.67,,-7.67,-7.67,-7.67,-12,-33.72,0.25,0.82,0.82,0.82,6.93,,,0,0,0,69.81,
2026-06-25,创业板50,sz159949,12471785113,117000000,0.94,2.03,2.12,3.22,9.22,2411039372,,-0.10,,,25271578174.47,26549000000,20720212362.14,68.69,0,-8.38,,-8.38,-8.38,-8.38,-12.96,-34.93,0.52,0.52,0.52,0.54,5.71,,,0,0,0,85.84,
2026-06-25,科创50,sh588000,31661668200,57000000,0.18,2.02,2.18,3.91,11.74,7891953305,,-0.01,,,63969234431.28,67959000000,68696834867.33,55,0,-19.27,,-15.77,-15.77,-19.27,-19.27,-36.48,0.16,0.16,0.25,1.05,6.22,,,0,0,0,80.07,
2026-06-25,科创50,sh588080,19051628100,-114000000,-0.60,1.96,2.12,3.88,4.62,1818537333,,0.19,,,37295467168.56,39869000000,37328386788.43,55.21,0,-19.03,,-15.60,-15.60,-19.03,-19.03,-36.98,0.24,0.25,0.30,1.20,4.76,,,0,0,0,81.12,
2026-06-25,科创100,sh588220,3169197900,-52500000,-1.66,2.01,2.11,1.05,10.88,734213294,,0.13,,,6383081490.39,6798000000,8206198091.75,26.15,0,-14.84,,-8.26,-8.36,-14.84,-14.84,-39.87,0.32,0.43,0.61,1,6.45,,,0,0,0,48.49,
